title,company,location,apply_link
[인턴] HR,에이피알,서울 송파구,https://kr.indeed.com/viewjob?jk=bf24bd11107e186f
Application Developer,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=56ef71094815c15d
[XTRM] Data Analyst,PUBG,서울,https://kr.indeed.com/viewjob?jk=80a65fe76f39fe46
데이터 엔지니어(신입/경력),쏘카,대한민국,https://kr.indeed.com/viewjob?jk=05aa5498d84c58e1
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/viewjob?jk=52f8fb3f7e662c5d
퍼즐데이터 역량있는 데이터 분석가,주식회사퍼즐데이터,서울 역삼동,https://kr.indeed.com/viewjob?jk=116009dbf59211ed
동국대학교 자율사물(AT)사업단 직원 채용,동국대학교,서울 필동,https://kr.indeed.com/viewjob?jk=47b130ad378a07a6
"FT LAB에서 파이썬, 웹 어플리케이션 개발자",바이브컴퍼니,서울 용산구,https://kr.indeed.com/viewjob?jk=86bfc1dcbbad04e5
금융 AI 기술 연구 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=e7346aa4ba6c1633
21년 전문연구요원,윈스,성남 분당구,https://kr.indeed.com/viewjob?jk=ed24a53654655e8c
Security Engineer (보안 엔지니어),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=fb6bafb5ae960c4e
[클라우드서비스] 네트워크 개발자 영입,카카오엔터프라이즈,성남 분당구,https://kr.indeed.com/viewjob?jk=9248ca355efc13d2
Customer Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=7d4bc2a107c6669b
NAVER IDC 서버 운영/관리(가산),NIT Service,서울 가산동,https://kr.indeed.com/viewjob?jk=70fccff4d30cb6bf
유명대기업) 데이터엔지니어 초빙 (5년 이상~),에이치알니즈,서울,https://kr.indeed.com/viewjob?jk=4d1b001be3234c14
사내 및 서비스 보안 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=cd40cf786e32f325
Data Scientist(CSS 모델링),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=3933762f9f06df56
"Pre Sales AE, Expert",Keysight Technologies,서울,https://kr.indeed.com/viewjob?jk=e646273cb91744c6
[신용리스크모델링팀] 신용평가모형 개발 및 운영담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=38ded2ac6c98054a
Security Engineer (취약점 분석),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=96688eea9c1a9e28
AI 개발자,넷아이디,서울 강남구,https://kr.indeed.com/viewjob?jk=b8c6ad4bd3f32e3d
8퍼센트 경력 개발자,8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=464ef95516a5fa5c
[ESTsecurity] 악성코드 분석 담당자 (신입),이스트시큐리티,서울 서초구,https://kr.indeed.com/viewjob?jk=9522dfa9894d00a9
Linux/Python/PHP/MySQL/백엔드 정규직 경력,일루미나리안,용인 보정동,https://kr.indeed.com/viewjob?jk=04d685fc70b67d4e
DBA 엔지니어,쏘카,대한민국,https://kr.indeed.com/viewjob?jk=d748c217f78dbd58
System Engineer,Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=80dea8b8353c3ee0
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young,대한민국,https://kr.indeed.com/viewjob?jk=e934bb33ef71dacb
1월 입사 - 근무 : 종각역 - S/W개발 정규직,제스웨어,서울 종로구,https://kr.indeed.com/viewjob?jk=0a8de9d8ee100dc8
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/viewjob?jk=9040dba1c8db2a5d
Software Architecture 설계 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=7df915e1f0f86b2d
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=78e99625e5de3c95
데이터 플랫폼 엔지니어,데브시스터즈,서울 강남구,https://kr.indeed.com/viewjob?jk=addb0f396596c8de
[KSTEC] 통계/Analytics 경력사원,지식시스템,성남 분당구,https://kr.indeed.com/viewjob?jk=8cf4e4659595a3b6
"[신입/경력] 이미지 OCR(문자인식), 이미지 딥러닝 S/W개발",코드원시스템,서울 송파구,https://kr.indeed.com/viewjob?jk=97aa2b00fda87ad6
2020년 하반기 각 부문 신입/경력,스탠드포인트,서울 금천구,https://kr.indeed.com/viewjob?jk=158d61f253f65fb4
게임 데이터 분석가,넥스트플로어,서울 서초구,https://kr.indeed.com/viewjob?jk=f24a1b079bd60c47
주식회사 디홀릭커머스 서비스개발 CTO조직 공개,디홀릭커머스,서울 강남구,https://kr.indeed.com/viewjob?jk=b41bb1656430684d
자율주행 셔틀 운행요원,언맨드솔루션,서울 마포구,https://kr.indeed.com/viewjob?jk=7b2ab53f3d76a0b0
2021년 지역주도형 일자리사업「4차 산업혁명 IT인력 일자리창출 지원」인공지능 솔루션 개발 분야,라젠,광주 서구,https://kr.indeed.com/viewjob?jk=85ec5ad4632325c2
DATA ENGINEER,Cobblestone Energy,서울,https://kr.indeed.com/viewjob?jk=ed3cb0c04f6d8345
FnPricing(전문연구요원포함)/에프앤가이드자회사,에프앤자산평가,대한민국,https://kr.indeed.com/viewjob?jk=52b05b64bda6a6cd
[리테일테크] 라운지랩의 안드로이드 개발자 찾습니다.,라운지랩,서울 서초구,https://kr.indeed.com/viewjob?jk=bca09bc2ffa46c12
백엔드 개발자,RippleAI,서울 관악구,https://kr.indeed.com/viewjob?jk=3715424cbfe0e064
"Junior Software Engineer, Server, Messaging",Sendbird,서울,https://kr.indeed.com/viewjob?jk=c9d9689b4870e116
Technical Specialist,Microsoft,서울,https://kr.indeed.com/viewjob?jk=f4c784e2cb1ecbbb
IT직군 채용(직무: 데이터 엔지니어),웅진,서울 종로구,https://kr.indeed.com/viewjob?jk=1ce35033129894b2
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=752a4b5d63eac97c
AI 연구/개발 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=481f953ccaa4bc96
Security Engineer (모의해킹/취약점 점검),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=241ae1e7499c461c
알고리즘/투자,쿼터백자산운용,대한민국,https://kr.indeed.com/viewjob?jk=85f599b637702b35
DBA,비바리퍼블리카,서울 강남구,https://kr.indeed.com/viewjob?jk=2a2fd0d9b3acfaa9
"임베디드(Embedded), H/W 엔지니어 외 경력 정규직, 계약직",아르비존,인천 연수구,https://kr.indeed.com/viewjob?jk=55e125c20e3ebf00
Staff RFFE Production Test Engineer,Qualcomm Korea RFFE Limited,서울,https://kr.indeed.com/viewjob?jk=eed3a8831600f82e
[Search] 글로벌 검색 서비스 개발,네이버,서울,https://kr.indeed.com/viewjob?jk=22192c4556d52108
한국통계정보원 통계 분야 직원(경력),재단법인 한국통계정보원,대전 서구,https://kr.indeed.com/viewjob?jk=ccae3ad24ecb362f
"소프트웨어 엔지니어, C,C++,Python 외 신입/경력 정규직",이투비비,서울 금천구,https://kr.indeed.com/viewjob?jk=f83a7104e9ea2859
프로그래머 (어플리케이션 개발자 또는 웹개발자),오너클랜,서울 금천구,https://kr.indeed.com/viewjob?jk=57e0679a1129c28a
프론트엔드 개발자,(주)블랙로직,서울 성동구,https://kr.indeed.com/viewjob?jk=fe493a78d2a25cf6
프로그램 개발 함께할 분,엑스오엔티엘,서울 강남구,https://kr.indeed.com/viewjob?jk=d300b376dfc26e53
Senior Data Scientist,MSD,서울,https://kr.indeed.com/viewjob?jk=a02e47c274d47675
위시켓과 함께할 서버개발자님,위시켓,서울 강남구,https://kr.indeed.com/viewjob?jk=a3a65a4d59061430
Python Programmer,Mofac,서울 서초구,https://kr.indeed.com/viewjob?jk=df21e3bb5d773616
웹프로그래머,네이처프라임,서울 동대문구,https://kr.indeed.com/viewjob?jk=d8c4433889ba6b06
지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원,광주 북구,https://kr.indeed.com/viewjob?jk=cd2ef993ee5c8d3f
DBA,Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=74d66a601cc8dde0
이커머스팀 데이터 분석가(Data Analytics),에프알엘코리아,서울 송파구,https://kr.indeed.com/viewjob?jk=eda8754368c9cf8d
FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=e5448ffc7d6ecf02
자율협력주행 온라인 박람회,자율협력주행 산업발전 협의회,서울,https://kr.indeed.com/viewjob?jk=1f9676614dc8b7e3
한국통계정보원 SW분야 직원(신입),재단법인 한국통계정보원,대전 서구,https://kr.indeed.com/viewjob?jk=faa6429b7c0cff10
"Application Engineer South Korea (Physics, EE)",Zurich Instruments,서울,https://kr.indeed.com/viewjob?jk=7cca723d316495aa
엔미디어플랫폼 데이터베이스 관리자 (DBA) 인재 안내,리더스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=d0ca27a97ddf91f9
Data Scientist,Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=917cc06120add6e1
게임이상탐지 분석/개발,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=4ec305f59ce64060
백엔드 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/viewjob?jk=8b9dbb350f5c0776
"Engr, Apps Dev 3",KLA-Tencor,대한민국,https://kr.indeed.com/viewjob?jk=924d2b1d6678281a
2020년 12월 경력사원 (품질센터),LG에너지솔루션,청주 오창읍,https://kr.indeed.com/viewjob?jk=855c77e0ac0f26d9
Web 개발(이커머스 파트)_PHP/CodeIgniter/Javascript,버드뷰,서울 마포구,https://kr.indeed.com/viewjob?jk=3292e81e43884c67
Support Engineer _ Developer Support,Microsoft,서울,https://kr.indeed.com/viewjob?jk=7449dd28faebd96c
